Wed Feb 19 18:01:15 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 2h 1m 36s, session: 39m 28s) on naboo at 1368 2750 - playerLoggedOut
Wed Feb 19 18:01:19 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 2h 1m 37s, session: 0s) on naboo at 1368 2750 - playerLoggedIn
Wed Feb 19 18:01:40 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 2h 1m 58s, session: 21s) on naboo at 1368 2750 - playerLoggedOut
Wed Feb 19 18:02:01 2025 [ServerEventAutomation] playerEvent wyatt (account_id: 46, oid: 281475004349354, played: 2h 33m 33s, session: 11m 22s) on naboo at 4874 6066 - playerLoggedOut
Wed Feb 19 18:06:02 2025 [ServerEventAutomation] playerEvent Gaelan (account_id: 34, oid: 281475000517495, played: 4h 32m 1s, session: 8m 41s) on dantooine at -3139 3806 - playerLoggedOut
Wed Feb 19 18:06:17 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 1s, session: 0s) on tutorial at 672 2697 - playerLoggedIn
Wed Feb 19 18:06:40 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 53m 47s, session: 0s) on dantooine at -3138 3805 - playerLoggedIn
Wed Feb 19 18:07:52 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 54m 59s, session: 1m 11s) on dantooine at -3138 3805 - playerLoggedOut
Wed Feb 19 18:07:56 2025 [ServerEventAutomation] playerEvent Jorsin (account_id: 34, oid: 281475000093436, played: 1d 1h 19m 35s, session: 0s) on dantooine at -3142 3806 - playerLoggedIn
Wed Feb 19 18:09:30 2025 [ServerEventAutomation] playerEvent Jorsin (account_id: 34, oid: 281475000093436, played: 1d 1h 21m 8s, session: 1m 33s) on dantooine at -3137 3803 - playerLoggedOut
Wed Feb 19 18:09:38 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 55m 0s, session: 0s) on dantooine at -3138 3805 - playerLoggedIn
Wed Feb 19 18:21:24 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 3h 47m 27s, session: 0s) on naboo at 4882 6064 - playerLoggedIn
Wed Feb 19 18:22:54 2025 [ServerEventAutomation] playerEvent Herra (account_id: 22, oid: 281475003899271, played: 3h 48m 17s, session: 30m 26s) on dantooine at -3039 3653 - playerLoggedOut
Wed Feb 19 18:23:38 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 1h 9m 0s, session: 14m 0s) on endor at -4896 4208 - playerLoggedOut
Wed Feb 19 18:23:43 2025 [ServerEventAutomation] playerEvent Ferric (account_id: 34, oid: 281475003892365, played: 54m 12s, session: 0s) on dantooine at -3135 3807 - playerLoggedIn
Wed Feb 19 18:23:56 2025 [ServerEventAutomation] playerEvent Ferric (account_id: 34, oid: 281475003892365, played: 54m 24s, session: 12s) on dantooine at -3135 3807 - playerLoggedOut
Wed Feb 19 18:24:24 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 1h 9m 1s, session: 0s) on endor at -4896 4208 - playerLoggedIn
Wed Feb 19 18:31:53 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 25m 30s, session: 25m 29s) on corellia at -86 -4686 - playerLoggedOut
Wed Feb 19 18:32:05 2025 [ServerEventAutomation] playerEvent Feir (account_id: 34, oid: 281475002493941, played: 1h 16m 40s, session: 7m 39s) on dantooine at -3140 3802 - playerLoggedOut
Wed Feb 19 18:32:12 2025 [ServerEventAutomation] playerEvent Jorsin (account_id: 34, oid: 281475000093436, played: 1d 1h 21m 9s, session: 0s) on dantooine at -3137 3803 - playerLoggedIn
Wed Feb 19 18:36:13 2025 [ServerEventAutomation] playerEvent Jasmine (account_id: 39, oid: 281475004350157, played: 2h 45m 17s, session: 0s) on corellia at -133 -5621 - playerLoggedIn
Wed Feb 19 18:36:17 2025 [ServerEventAutomation] playerEvent Dewany (account_id: 9, oid: 281474995629732, played: 1h 16m 59s, session: 0s) on tatooine at 51 -5344 - playerLoggedIn
Wed Feb 19 18:39:27 2025 [ServerEventAutomation] playerEvent Jorsin (account_id: 34, oid: 281475000093436, played: 1d 1h 28m 23s, session: 7m 14s) on dantooine at -3135 3804 - playerLoggedOut
Wed Feb 19 18:39:33 2025 [ServerEventAutomation] playerEvent Ferric (account_id: 34, oid: 281475003892365, played: 54m 25s, session: 0s) on dantooine at -3135 3807 - playerLoggedIn
Wed Feb 19 18:41:38 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 41m 51s, session: 0s) on corellia at 379 -5126 - playerLoggedIn
Wed Feb 19 18:43:39 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 43m 51s, session: 1m 59s) on corellia at 380 -5124 - playerLoggedOut
Wed Feb 19 18:43:52 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 25m 31s, session: 0s) on corellia at -86 -4686 - playerLoggedIn
Wed Feb 19 18:44:21 2025 [ServerEventAutomation] playerEvent Hue (account_id: 34, oid: 281475004489973, played: 55m 15s, session: 47m 44s) on dantooine at -3136 3803 - playerLoggedOut
Wed Feb 19 18:44:28 2025 [ServerEventAutomation] playerEvent Ferric (account_id: 34, oid: 281475003892365, played: 59m 20s, session: 4m 54s) on dantooine at -3135 3807 - playerLoggedOut
Wed Feb 19 18:48:20 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 29m 58s, session: 4m 26s) on corellia at -49 -4710 - playerLoggedOut
Wed Feb 19 18:48:29 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 43m 52s, session: 0s) on corellia at 380 -5124 - playerLoggedIn
Wed Feb 19 18:49:20 2025 [ServerEventAutomation] playerEvent Lap (account_id: 22, oid: 281474998596425, played: 11h 23m 38s, session: 0s) on dantooine at -3050 3652 - playerLoggedIn
Wed Feb 19 18:51:22 2025 [ServerEventAutomation] playerEvent Kathandris (account_id: 39, oid: 281475003580374, played: 9h 58m 58s, session: 0s) on corellia at -89 -5705 - playerLoggedIn
Wed Feb 19 18:53:16 2025 [ServerEventAutomation] playerEvent Lap (account_id: 22, oid: 281474998596425, played: 11h 27m 34s, session: 3m 55s) on dantooine at -3038 3654 - playerLoggedOut
Wed Feb 19 18:55:56 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 51m 18s, session: 7m 25s) on corellia at -178 -5649 - playerLoggedOut
Wed Feb 19 18:56:08 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 29m 59s, session: 0s) on corellia at -49 -4710 - playerLoggedIn
Wed Feb 19 19:02:19 2025 [ServerEventAutomation] playerEvent Dewany (account_id: 9, oid: 281474995629732, played: 1h 42m 59s, session: 26m 0s) on naboo at 4811 -4718 - playerLoggedOut
Wed Feb 19 19:03:09 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 36m 58s, session: 6m 59s) on corellia at -62 -4600 - playerLoggedOut
Wed Feb 19 19:07:20 2025 [ServerEventAutomation] playerEvent Agatha (account_id: 49, oid: 281475004495276, played: 1s, session: 0s) on tutorial at 4476 1921 - playerLoggedIn
Wed Feb 19 19:08:55 2025 [ServerEventAutomation] playerEvent Agatha (account_id: 49, oid: 281475004495276, played: 1m 35s, session: 1m 34s) on tutorial at 4476 1921 - playerLoggedOut
Wed Feb 19 19:09:03 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 36m 59s, session: 0s) on corellia at -62 -4600 - playerLoggedIn
Wed Feb 19 19:11:49 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 4h 37m 50s, session: 50m 22s) on naboo at 4871 6064 - playerLoggedOut
Wed Feb 19 19:11:53 2025 [ServerEventAutomation] playerEvent wyatt (account_id: 46, oid: 281475004349354, played: 2h 33m 34s, session: 0s) on naboo at 4874 6066 - playerLoggedIn
